hitter,side_proxy,sample_size,cc_count,dtl_count,mean_min_propensity,support_label
Roberto Bautista Agut,deuce,12,9,3,0.3752177905190872,low support
Roberto Carballes Baena,deuce,5,2,3,0.3369125556859282,low support
Roman Safiullin,deuce,16,9,7,0.39982577082672577,low support
Ryan Seggerman,deuce,2,1,1,0.4271315504510259,low support
Sebastian Baez,deuce,26,16,10,0.3126860392529709,moderate support
Sebastian Korda,deuce,51,37,14,0.3512019631748903,moderate support
Seong Chan Hong,deuce,1,1,0,0.3699928570558309,low support
Stan Wawrinka,deuce,31,19,12,0.3798700887441473,moderate support
Stefanos Tsitsipas,deuce,57,41,16,0.42346292973527444,moderate support
Strong Kirchheimer,deuce,2,0,2,0.3982847695755831,low support
Tallon Griekspoor,deuce,59,38,21,0.25205273241940535,high support
Taro Daniel,deuce,12,7,5,0.3805428064524036,low support
Taylor Fritz,deuce,86,53,33,0.30295263454052196,high support
Thanasi Kokkinakis,deuce,19,10,9,0.40535492355776576,low support
Thiago Monteiro,ad,3,3,0,0.27739178372829815,low support
Thiago Seyboth Wild,deuce,9,6,3,0.41307806995961593,low support
Thijs Boogaard,deuce,6,3,3,0.3167262985522568,low support
Timofey Skatov,deuce,20,19,1,0.3084881099835156,low support
Tomas Machac,deuce,38,21,17,0.3682008564970399,moderate support
Tomas Martin Etcheverry,deuce,23,12,11,0.41459625640235126,moderate support
Tommy Paul,deuce,79,44,35,0.3535475654540285,high support
Tristan Schoolkate,deuce,10,2,8,0.3441397546042706,low support
Ugo Humbert,ad,50,36,14,0.23118099370342876,moderate support
Ugo Humbert,deuce,2,1,1,0.3276470299077553,low support
Yannick Hanfmann,deuce,11,7,4,0.3683111626205623,low support
Yoshihito Nishioka,ad,10,8,2,0.2692782323252706,low support
Zachary Svajda,deuce,6,2,4,0.43209845873517844,low support
Zhizhen Zhang,deuce,7,3,4,0.28196226510070793,low support
Zizou Bergs,deuce,20,12,8,0.43236192993378075,low support
