side_proxy,hitter,sample_size,dtl_rate,point_win_rate
deuce,Coleman Wong,3,0.3333333333333333,0.3333333333333333
ad,Goncalo Oliveira,3,0.6666666666666666,0.3333333333333333
deuce,Jo Wilfried Tsonga,3,0.6666666666666666,0.6666666666666666
deuce,Joao Sousa,3,0.6666666666666666,0.0
deuce,Juan Carlos Prado Angelo,3,0.0,0.6666666666666666
deuce,Kiranpal Pannu,3,0.3333333333333333,0.6666666666666666
ad,Lucas Pouille,3,0.0,1.0
deuce,Masamichi Imamura,3,0.0,0.3333333333333333
ad,Maximilian Marterer,3,0.0,0.3333333333333333
deuce,Niels Visker,3,0.6666666666666666,1.0
deuce,Robin Haase,3,0.3333333333333333,0.0
ad,Thiago Monteiro,3,0.0,0.3333333333333333
deuce,Viktor Durasovic,3,0.0,0.6666666666666666
deuce,Alexandre Muller,2,1.0,0.0
deuce,Andrea Vavassori,2,0.5,0.5
deuce,Cooper Williams,2,0.5,0.5
deuce,Filip Krajinovic,2,1.0,0.0
deuce,Gijs Brouwer,2,1.0,0.5
deuce,Jack Sock,2,0.5,1.0
deuce,Jelle Sels,2,1.0,0.5
ad,Joshua Sheehy,2,0.0,0.0
deuce,Karlis Ozolins,2,0.5,0.0
deuce,Kris Van Wyk,2,0.0,0.0
deuce,Mariano Navone,2,0.5,0.5
deuce,Michael Geerts,2,0.0,0.0
deuce,Nick Hardt,2,0.0,0.5
deuce,Patrick Kypson,2,0.0,0.0
deuce,Ryan Seggerman,2,0.5,0.5
deuce,Strong Kirchheimer,2,1.0,0.0
deuce,Ugo Humbert,2,0.5,0.5
deuce,Antoine Escoffier,1,0.0,1.0
deuce,Aristotelis Thanos,1,0.0,0.0
deuce,Cooper Kose,1,0.0,1.0
deuce,Federico Coria,1,1.0,1.0
deuce,Jan Kumstat,1,0.0,0.0
deuce,Kevin Anderson,1,0.0,1.0
deuce,Marc Andrea Huesler,1,1.0,1.0
deuce,Marc Polmans,1,1.0,0.0
deuce,Nikoloz Basilashvili,1,0.0,1.0
deuce,Patrick Brady,1,0.0,1.0
deuce,Peter Gojowczyk,1,1.0,0.0
deuce,Rio Noguchi,1,0.0,0.0
deuce,Seong Chan Hong,1,0.0,1.0
deuce,Sergiy Stakhovsky,1,0.0,0.0
